make,model,colour,capacity,network,grade,condition,count
AASTRA,6865I,Black,"Not Applicable","Not Applicable","Grade B "," Good Condition",Working,3
AASTRA,6865I,Black,"Not Applicable","Not Applicable","Grade A "," Very Good Condition",Working,1
ABOOK,1720W,Black,4GB,"Not Applicable","Grade B "," Good Condition",Working,1
ACCESSORIZE,"UNIVERSAL 10 INCH TABLET FOLIO CASE "," BIRDS BLACK",Multicolour,"Not Applicable","Not Applicable","Brand New","Brand New",22
ACCESSORIZE,"UNIVERSAL 10 INCH TABLET FOLIO CASE "," ROSE NAVY",Multicolour,"Not Applicable","Not Applicable","Brand New","Brand New",208
Acer,4551,P322G25MNSK,Silver,2GB,"Not Applicable",Unknown,"Power On Tested","Good LCD",1
Acer,4551,P322G25MSKN,Silver,2GB,"Not Applicable",Unknown,Non,working,1
Acer,4552,P322G32MNKK,Black,2GB,"Not Applicable","Grade B "," Good Condition","Power On Tested","Good LCD",1
Acer,4820,382G25MNKS,Black,2GB,"Not Applicable",Unknown,Non,working,1
Acer,4820,38G2MNKS,Black,2GB,"Not Applicable",Unknown,Non,working,1
Acer,4830,2332G32MNKK,Black,2GB,"Not Applicable",Unknown,Non,working,2
Acer,5253,E353G32MNKK,Black,2GB,"Not Applicable",Unknown,Non,working,1
Acer,5253,E353G32MNKK,Black,3GB,"Not Applicable","Grade B "," Good Condition",Working,1
Acer,5334,333G37MNKK,Black,3GB,"Not Applicable","Grade C "," Acceptable Condition",Non,working,1
Acer,5349,Black,2GB,"Not Applicable","Grade B "," Good Condition",Working,1
Acer,"ACER ASPIRE ES1",531,Black,4GB,"Not Applicable","Grade A "," Very Good Condition",Working,1
Acer,"Acer Aspire V5","571 15.6","inch Laptop "," Silver (Intel Core i3 2365M 1.4GHz, 4GB RAM, 500GB HDD, DVDSM DL, LAN, WLAN, BT, Webcam, Integrated Graphics, Windows 8 64",bit),"Aluminium Silver",4GB,"Not Applicable","Grade A "," Very Good Condition",Working,1
Acer,"Acer ICONIA W5/KDI Intel atom z2760 (1.8Ghz 2x), Win 8 32 bit,RAM 2GB HDD 64GB",Silver,2GB,"Not Applicable","Grade B "," Good Condition",Working,1
